season,race_num,race_name,race_date,driver,car,team,team_group,rank,rank_num,grid,laps,time_retired,pts_rank,pts_pole,pts_bonus,points
1,11,2015 London race 2,2015-06-28,Nick Heidfeld,23,Venturi Grand Prix,Venturi,Ret,17,7,23,Gearbox,0,0,0,0
6,2,2019 Diriyah race 2,2019-11-23,Felipe Massa,19,Venturi-Mercedes,Venturi,17,17,15,30,+45.7584,0,0,0,0
6,5,2020 Marrakesh,2020-02-29,Felipe Massa,19,Venturi-Mercedes,Venturi,17,17,20,34,+27.476,0,0,0,0
6,6,2020 Berlin,2020-08-05,Edoardo Mortara,48,Venturi-Mercedes,Venturi,17,17,14,36,+38.7653,0,0,0,0
5,9,2019 Monaco,2019-05-11,Robin Frijns,4,Virgin-Audi,Virgin,17,17,11,46,Collision,0,0,0,0
7,1,2021 Diriyah,2021-02-26,Robin Frijns,4,Virgin-Audi,Virgin,17,17,24,32,+18.822,0,0,0,0
4,5,2018 Mexico City,2018-03-03,Sam Bird,2,Virgin-Citroën,Virgin,17,17,19,47,+44.982,0,0,0,0
5,5,2019 Hong Kong,2019-03-10,Sébastien Buemi,23,e.Dams-Nissan,Nissan-Renault,Ret,17,8,19,Suspension,0,0,0,0
4,10,2018 Zürich,2018-06-10,Nico Prost,8,e.Dams-Renault,Nissan-Renault,Ret,17,7,31,Brakes,0,0,0,0
6,3,2020 Santiago,2020-01-18,Oliver Rowland,22,e.dams-Nissan,Nissan-Renault,17,17,23,36,+4 Laps,0,0,0,0
1,4,2015 Buenos Aires,2015-01-10,Sébastien Buemi,9,e.dams-Renault,Nissan-Renault,Ret,17,1,23,Suspension,0,3,0,3
2,5,2016 Mexico City,2016-03-12,Lucas di Grassi,11,ABT Schaeffler Audi Sport,Audi,DSQ,18,3,43,Underweight6,0,0,0,0
2,1,2015 Beijing,2015-10-24,Simona de Silvestro,28,Amlin Andretti,BMW-Andretti,Ret,18,14,2,Accident,0,0,0,0
1,5,2015 Miami,2015-03-14,Jean-Éric Vergne,27,Andretti,BMW-Andretti,18,18,1,37,+2 laps,0,3,0,3
3,4,2017 Mexico City,2017-04-01,António Félix da Costa,28,Andretti-BMW,BMW-Andretti,Ret,18,6,32,Gearbox,0,0,0,0
3,8,2017 Berlin race 2,2017-06-11,Robin Frijns,27,Andretti-BMW,BMW-Andretti,18,18,14,46,+72.083,0,0,0,0
5,1,2018 Ad Diriyah,2018-12-15,Alexander Sims,27,Andretti-BMW,BMW-Andretti,18,18,10,33,+47.412,0,0,0,0
5,5,2019 Hong Kong,2019-03-10,Alexander Sims,27,Andretti-BMW,BMW-Andretti,Ret,18,13,16,Accident,0,0,0,0
6,1,2019 Diriyah,2019-11-22,Maximilian Günther,28,Andretti-BMW,BMW-Andretti,18,18,8,34,+25.662,0,0,0,0
4,4,2018 Santiago,2018-02-03,Daniel Abt,66,Audi,Audi,Ret,18,9,11,Energy,0,0,0,0
5,7,2019 Rome,2019-04-13,Daniel Abt,66,Audi,Audi,18,18,17,28,Technical,0,0,0,0
5,13,2019 New York City race 2,2019-07-14,Lucas di Grassi,11,Audi,Audi,18,18,11,35,Collision,0,0,0,0
1,7,2015 Monaco,2015-05-09,Daniel Abt,66,Audi Sport ABT,Audi,Ret,18,6,14,Transmission,0,0,0,0
2,9,2016 London,2016-07-02,Daniel Abt,66,Audi Sport ABT,Audi,Ret,18,6,19,Accident,0,0,0,0
2,2,2015 Putrajaya,2015-11-07,Jean-Éric Vergne,25,DS Virgin Racing,Virgin,Ret,18,13,0,Collision,0,0,0,0
2,10,2016 London race 2,2016-07-03,Sam Bird,2,DS Virgin Racing,Virgin,Ret,18,8,6,Throttle,0,0,0,0
2,7,2016 Paris,2016-04-23,Loïc Duval,6,Dragon,Dragon,Ret,18,16,4,Gearbox,0,0,0,0
2,8,2016 Berlin,2016-05-21,Loïc Duval,6,Dragon,Dragon,Ret,18,9,39,Accident,0,0,0,0
3,2,2016 Marrakesh,2016-11-12,Loïc Duval,6,Dragon-Penske,Dragon,18,18,19,30,,0,0,1,1
3,5,2017 Monaco,2017-05-13,Loïc Duval,6,Dragon-Penske,Dragon,Ret,18,20,40,Brakes,0,0,0,0
3,6,2017 Paris,2017-05-20,Jérôme d'Ambrosio,7,Dragon-Penske,Dragon,18,18,12,35,Suspension,0,0,0,0
4,1,2017 Hong Kong,2017-12-02,Neel Jani,6,Dragon-Penske,Dragon,18,18,20,42,+1 Lap,0,0,0,0
4,2,2017 Hong Kong race 2,2017-12-03,Neel Jani,6,Dragon-Penske,Dragon,18,18,19,44,+ 1 Lap,0,0,0,0
4,9,2018 Berlin,2018-05-19,José María López,6,Dragon-Penske,Dragon,18,18,11,45,+53.611,0,0,0,0
4,12,2018 New York City race 2,2018-07-15,Jérôme d'Ambrosio,7,Dragon-Penske,Dragon,Ret,18,12,6,Crash,0,0,0,0
5,12,2019 New York City,2019-07-13,Maximilian Günther,6,Dragon-Penske,Dragon,Ret,18,11,28,Collision damage,0,0,0,0
5,4,2019 Mexico City,2019-02-16,Stoffel Vandoorne,5,HWA-Venturi,Mercedes,18,18,19,45,+43.4254,0,0,0,0
5,6,2019 Sanya,2019-03-23,Gary Paffett,17,HWA-Venturi,Mercedes,Ret,18,PL,13,Driveshaft,0,0,0,0
3,1,2016 Hong Kong,2016-10-09,Mitch Evans,20,Jaguar,Jaguar,Ret,18,16,24,Electrical,0,0,0,0
4,8,2018 Paris,2018-04-28,Nelson Piquet Jr.,3,Jaguar,Jaguar,Ret,18,18,32,Seat belt,0,0,0,0
4,11,2018 New York City,2018-07-14,Nelson Piquet Jr.,3,Jaguar,Jaguar,Ret,18,6,30,Battery,0,0,0,0
5,8,2019 Paris,2019-04-27,Alex Lynn,3,Jaguar,Jaguar,Ret,18,15,23,Collision,0,0,0,0
